std,mean,ETFname,log_mean,log_std,sharpe ratio
1.115902786,0.047386297,AADR,0.041156469,1.116642624,0.643780642
1.934746155,-0.010806262,AMLP,-0.029495136,1.935413323,-0.266300642
2.731556044,-0.032813795,AMZA,-0.070100261,2.734386132,-0.497905452
1.708008068,0.019066254,AND,0.004536994,1.705507752,0.114561321
1.101143553,0.004379069,ASEA,-0.001676839,1.10171596,0.044738979
2.487071195,0.011234152,ASHR,-0.019557998,2.48368415,-0.122567126
3.12451761,0.060411526,ASHS,0.011601961,3.131247264,0.047831398
1.454235747,0.03480434,AUSE,0.024185194,1.460548719,0.318834671
1.156327158,0.015683833,AXJL,0.008998279,1.157830693,0.168371673
0.859244509,0.011270698,AXJV,0.007577019,0.860723846,0.168735224
0.443802112,0.011633907,BAB,0.010649299,0.444116653,0.344369279
2.673566987,-0.008251742,BBC,-0.044082023,2.682381752,-0.2689619
1.607486567,0.017616811,BBH,0.004714992,1.60798381,0.044432928
1.935002277,0.078489074,BBP,0.059791284,1.934278002,0.508183365
1.172301858,-0.012418003,BBRC,-0.019290627,1.173848524,-0.216872873
2.552806764,-0.005926472,BDL,-0.03824877,2.541425636,-0.17852773
3.500443704,0.009159848,BIB,-0.052175392,3.509224436,-0.211991147
1.438397038,0.020149217,BICK,0.009802754,1.440518436,0.150446931
1.395149146,0.023067142,BKF,0.013331116,1.397327694,0.190445486
0.206848554,0.011517123,BKLN,0.011302748,0.206972039,0.929060443
0.251686668,0.009725299,BOND,0.009408582,0.251738376,0.56741787
2.18236219,0.032096688,BRAQ,0.008242191,2.188377332,0.137216573
2.008528786,0.027516459,BRAZ,0.007432876,2.004931709,0.124772657
1.974370769,0.025072874,BRF,0.005570987,1.977967963,0.133312904
6.838016874,0.098394312,BRZU,-0.135511727,6.85733206,-0.396328451
0.100754155,0.004309007,BSCH,0.004258227,0.100784932,0.63415321
0.118267232,0.007194044,BSCI,0.00712397,0.118272747,0.923682956
0.14930042,0.009596568,BSCJ,0.009484855,0.149300951,0.985443824
0.188666824,0.012085026,BSCK,0.011906599,0.188703352,0.963920457
0.243391333,0.012052798,BSCL,0.011756417,0.243390351,0.75971074
0.280869566,0.01351968,BSCM,0.013124915,0.280942451,0.726711298
0.330281707,0.013979224,BSCN,0.013433155,0.3305848,0.626223071
0.35729483,0.013809388,BSCO,0.013171267,0.357312711,0.559964022
0.21292338,0.012718875,BSJH,0.012491685,0.213003918,1.000995908
0.265351668,0.014596462,BSJI,0.014243771,0.265474903,0.927290697
0.316549877,0.015765493,BSJJ,0.01526388,0.316682494,0.85017035
0.352884458,0.017186928,BSJK,0.016563151,0.35323527,0.852707147
0.400516813,0.023407175,BSJL,0.022603337,0.400727974,0.994532604
0.46593663,0.023889972,BSJM,0.022802972,0.466174222,0.852406117
0.098307553,0.005553791,BSV,0.005505406,0.098299466,0.860836076
2.643058252,0.036889312,BTAL,0.004254669,2.542634899,0.03110642
0.507347691,-0.003362671,BWX,-0.004646891,0.507163305,-0.134586524
0.486628148,-0.007063599,BWZ,-0.008245123,0.486397763,-0.287072973
1.696735409,0.016013951,CANE,0.001645677,1.696776097,0.036562405
1.258100427,0.003852388,CARZ,-0.004075794,1.261505011,-0.005855918
0.353762478,0.010429782,CBND,0.009804422,0.353852324,0.419792898
0.415347471,-0.009328794,CBON,-0.01019352,0.416501001,-0.364896528
0.762040699,0.03805353,CDC,0.035144657,0.762819594,0.852457014
0.490095386,0.024085814,CEMB,0.022884027,0.490160045,0.779135583
0.546729117,7.80E-05,CEW,-0.001414472,0.546883744,-0.00286075
0.841326429,0.032690791,CFA,0.029141236,0.843488577,0.63572348
0.845737333,0.031694366,CFO,0.028111424,0.847272576,0.640827649
0.920676009,0.028467321,CGW,0.024220351,0.922805691,0.510657129
2.500148572,0.029432626,COPX,-0.00168815,2.495864229,0.02360613
1.221844348,-0.048079236,CORN,-0.055553775,1.223014807,-0.800587908
0.302414327,0.011655185,CORP,0.011197867,0.302513317,0.575367267
2.810299427,0.014856723,CPER,-0.022141603,2.697340129,-0.153651219
0.265294812,0.005501939,CPI,0.005150728,0.265172216,0.338281022
1.682838979,0.053141775,CQQQ,0.038978696,1.684780321,0.396659634
0.823719512,0.026351563,CRBN,0.022950773,0.825794323,0.513172838
0.366936529,0.015258215,CRDT,0.01458471,0.36709022,0.635394669
0.280393291,0.010168305,CRED,0.00977525,0.280472391,0.533261945
1.426060848,0.001000905,CROC,-0.009141632,1.425275273,-0.093081592
1.008303408,0.054859032,CROP,0.049766648,1.009032133,0.785530016
1.032198585,0.01413719,CSD,0.008808694,1.033696595,0.189340659
0.909032579,0.014949165,CSF,0.010813915,0.910709193,0.21736776
0.065091445,0.005477524,CSJ,0.005456229,0.065087656,1.342157387
0.890098082,0.033366751,CSM,0.029402386,0.891003366,0.642406923
2.962091846,0.057706356,CURE,0.013651407,2.975986795,0.091600115
1.098369844,0.027530047,CUT,0.021482983,1.101533002,0.382854198
0.877805322,0.007518714,CVY,0.003667882,0.87863281,0.150853651
0.61314079,0.027203168,CWB,0.025320662,0.613810585,0.754041153
